pcf_order,ts_code,symbol,name,industry,pcf_quantity,cash_flag,premium_pct,pcf_trade_date
198433426,603658.SH,603658,安图生物,医疗保健,200.0,必须,34.0,2026-09-09
198433425,603195.SH,603195,公牛集团,家用电器,300.0,必须,34.0,2026-09-09
198433424,601988.SH,601988,中国银行,银行,1500.0,必须,34.0,2026-09-09
198433423,601939.SH,601939,建设银行,银行,900.0,必须,34.0,2026-09-09
198433422,601916.SH,601916,浙商银行,银行,3700.0,必须,34.0,2026-09-09
198433421,601838.SH,601838,成都银行,银行,600.0,必须,34.0,2026-09-09
198433420,601825.SH,601825,沪农商行,银行,700.0,必须,34.0,2026-09-09
198433419,601818.SH,601818,光大银行,银行,4100.0,必须,34.0,2026-09-09
198433418,601766.SH,601766,中国中车,运输设备,2700.0,必须,34.0,2026-09-09
198433417,601728.SH,601728,中国电信,电信运营,3000.0,必须,34.0,2026-09-09
198433416,601668.SH,601668,中国建筑,建筑工程,4400.0,必须,34.0,2026-09-09
198433415,601658.SH,601658,邮储银行,银行,1900.0,必须,34.0,2026-09-09
198433414,601398.SH,601398,工商银行,银行,1300.0,必须,34.0,2026-09-09
198433413,601328.SH,601328,交通银行,银行,1600.0,必须,34.0,2026-09-09
198433412,601298.SH,601298,青岛港,港口,1700.0,必须,34.0,2026-09-09
198433411,601288.SH,601288,农业银行,银行,1400.0,必须,34.0,2026-09-09
198433410,601229.SH,601229,上海银行,银行,1400.0,必须,34.0,2026-09-09
198433409,601186.SH,601186,中国铁建,建筑工程,2700.0,必须,34.0,2026-09-09
198433408,601169.SH,601169,北京银行,银行,2400.0,必须,34.0,2026-09-09
198433407,601166.SH,601166,兴业银行,银行,800.0,必须,34.0,2026-09-09
198433406,601009.SH,601009,南京银行,银行,1000.0,必须,34.0,2026-09-09
198433405,601006.SH,601006,大秦铁路,铁路,3400.0,必须,34.0,2026-09-09
198433404,601000.SH,601000,唐山港,港口,2600.0,必须,34.0,2026-09-09
198433403,600941.SH,600941,中国移动,电信运营,200.0,必须,34.0,2026-09-09
198433402,600919.SH,600919,江苏银行,银行,1000.0,必须,34.0,2026-09-09
198433401,600900.SH,600900,长江电力,水力发电,500.0,必须,34.0,2026-09-09
198433400,600887.SH,600887,伊利股份,乳制品,800.0,必须,34.0,2026-09-09
198433399,600886.SH,600886,国投电力,水力发电,800.0,必须,34.0,2026-09-09
198433398,600642.SH,600642,申能股份,火力发电,2100.0,必须,34.0,2026-09-09
198433397,600600.SH,600600,青岛啤酒,啤酒,300.0,必须,34.0,2026-09-09
198433396,600519.SH,600519,贵州茅台,白酒,0.0,必须,,2026-09-09
198433395,600377.SH,600377,宁沪高速,路桥,1200.0,必须,34.0,2026-09-09
198433394,600350.SH,600350,山东高速,路桥,1400.0,必须,34.0,2026-09-09
198433393,600177.SH,600177,雅戈尔,服饰,2600.0,必须,34.0,2026-09-09
198433392,600132.SH,600132,重庆啤酒,啤酒,200.0,必须,34.0,2026-09-09
198433391,600036.SH,600036,招商银行,银行,300.0,必须,34.0,2026-09-09
198433390,600028.SH,600028,中国石化,石油加工,3000.0,必须,34.0,2026-09-09
198433389,600019.SH,600019,宝钢股份,普钢,3200.0,必须,34.0,2026-09-09
198433388,600016.SH,600016,民生银行,银行,3600.0,必须,34.0,2026-09-09
198433387,600015.SH,600015,华夏银行,银行,2000.0,必须,34.0,2026-09-09
198433386,002032.SZ,002032,苏泊尔,家用电器,500.0,必须,10.0,2026-09-09
198433385,002007.SZ,002007,华兰生物,生物制药,300.0,必须,10.0,2026-09-09
198433384,001965.SZ,001965,招商公路,路桥,1600.0,必须,10.0,2026-09-09
198433383,000999.SZ,000999,华润三九,中成药,300.0,必须,10.0,2026-09-09
198433382,000895.SZ,000895,双汇发展,食品,900.0,必须,10.0,2026-09-09
198433381,000858.SZ,000858,五粮液,白酒,300.0,必须,10.0,2026-09-09
198433380,000651.SZ,000651,格力电器,家用电器,700.0,必须,10.0,2026-09-09
198433379,000423.SZ,000423,东阿阿胶,中成药,400.0,必须,10.0,2026-09-09
198433378,000333.SZ,000333,美的集团,家用电器,200.0,必须,10.0,2026-09-09
198433377,000001.SZ,000001,平安银行,银行,1200.0,必须,10.0,2026-09-09
