ts_code,name,debt_2026h1_yuan,debt_2025ye_yuan,net_cash_2026h1_yuan,net_cash_2025ye_yuan,cfo_2026h1_yuan,cfo_2025h1_yuan,fcf_proxy_2026h1_yuan,fcf_proxy_2025h1_yuan,expense_ratio_2026h1,expense_ratio_2025h1,deduct_profit_2026h1_yuan,deduct_profit_2025h1_yuan,tangible_equity_2026h1_yuan,tangible_equity_2025ye_yuan,annual_profit_2021_yuan,annual_profit_2022_yuan,annual_profit_2023_yuan,annual_profit_2024_yuan,annual_profit_2025_yuan,return_20d,moneyflow_20d_thousand_yuan,margin_balance_change_40d
603658.SH,安图生物,48378728.38,48839479.93,1205110191.7099998,543434058.35,215841961.03,410183925.35,-10971741.150000006,83684116.71000004,0.4022719318519682,0.35998205285485596,493172493.18,546316646.83,8509731260.02,8761505661.77,973663074.64,1167437129.39,1217438887.27,1194451909.72,1068016468.23,-0.008045506363228094,3357.44,0.07456546027134558
603195.SH,公牛集团,933096786.5199999,788544123.23,3605417537.9199996,3378775031.13,2235882405.13,2377802849.73,2070912311.46,2042559577.46,0.14009668533031178,0.15102669208910374,1900070162.78,1842472252.47,15193263417.51,16797615200.75,2780360732.66,3188619359.56,3870135376.47,4272204565.03,4070632747.77,-0.05436332352288986,-6434.140000000001,-0.09896346626088293
601988.SH,中国银行,2262443000000.0,2294688000000.0,,,515800000000.0,33639000000.0,487799000000.0,17131000000.0,0.23431296458701664,0.2511466460792151,,,3097977000000.0,3061287000000.0,216559000000.0,227439000000.0,231904000000.0,237841000000.0,243021000000.0,0.10291504476049829,241771.62,-0.09984965533291625
601939.SH,建设银行,2835183000000.0,2593524000000.0,,,350683000000.0,1256614000000.0,341931000000.0,1251363000000.0,0.2147073848472839,0.2304570690866481,,161598000000.0,3807861000000.0,3660995000000.0,302513000000.0,323861000000.0,332653000000.0,335577000000.0,338906000000.0,0.0566408808237604,44918.99,-0.07358856644496452
601916.SH,浙商银行,474003000000.0,512953000000.0,,,122322000000.0,-43342000000.0,119664000000.0,-50092000000.0,0.280490738513351,0.2819718479307026,7619000000.0,7752000000.0,206655000000.0,202868000000.0,12648000000.0,13618000000.0,15048000000.0,15186000000.0,12931000000.0,0.017183155969984876,21947.310000000005,-0.10375245382434123
601838.SH,成都银行,192918367000.0,199031125000.0,,,67431071000.0,49183294000.0,67340020000.0,49162624000.0,0.22774247359178357,0.23175793671718942,6852332000.0,6594012000.0,103223534000.0,99343175000.0,7830736000.0,10042377000.0,11671118000.0,12858380000.0,13283492000.0,0.0942129142188215,48455.780000000006,-0.08661907378057151
601825.SH,沪农商行,106822687000.0,120912596000.0,,,29268298000.0,6821766000.0,28975833000.0,6415946000.0,0.26910052897683806,0.2783978698245802,6657610000.0,6993414000.0,133099212000.0,127905738000.0,9697866000.0,10974378000.0,12141958000.0,12288156000.0,12312825000.0,0.07951812114531598,17679.559999999998,-0.16608566565428
601818.SH,光大银行,1218539000000.0,1328801000000.0,,,60884000000.0,212285000000.0,57419000000.0,208379000000.0,0.2592281347117397,0.2652538001759762,18666000000.0,24976000000.0,611231000000.0,603519000000.0,43407000000.0,44807000000.0,40792000000.0,41696000000.0,38826000000.0,2.376952570548596e-06,14444.039999999995,-0.09479044322864157
601766.SH,中国中车,18854635000.0,19353878000.0,25344630000.0,48480746000.0,-16139470000.0,-8997544000.0,-19173076000.0,-12512324000.0,0.12924464143822606,0.1309408838700358,7408122000.0,6661007000.0,176173642000.0,171808593000.0,10302605000.0,11653448000.0,11711576000.0,12387514000.0,13181015000.0,0.04230040798120882,81603.75,-0.18089234800564488
601728.SH,中国电信,29136053960.21,24625399281.87,35759057076.99,75181051925.25,60375156021.25,47034217345.82,34016300958.19,19788220666.51,0.1853573856428288,0.18243040430520102,17489720026.16,21720719479.08,440970191318.92,429913789462.59,25951975087.64,27593420934.48,30445686138.83,33012069907.9,33184733428.28,-0.003172734019115331,2515.9299999999967,-0.23684306936290228
601668.SH,中国建筑,946766273000.0,937147309000.0,-551632489000.0,-525477102000.0,-28461271000.0,-82830595000.0,-41392643000.0,-91833157000.0,0.03747752380147582,0.03451829320264372,19922491000.0,,501658946000.0,489188553000.0,51407661000.0,50950301000.0,54264173000.0,46187099000.0,39069002000.0,-0.024444149888641742,-83068.3,-0.10828173601009085
601658.SH,邮储银行,276179000000.0,251284000000.0,,,352514000000.0,183699000000.0,348819000000.0,179464000000.0,0.520152533743415,0.5470057844699798,,49333000000.0,1196339000000.0,1160146000000.0,76170000000.0,85224000000.0,86270000000.0,86479000000.0,87404000000.0,0.09533409101925128,130490.05,0.018500002249212655
601398.SH,工商银行,2551700000000.0,2216807000000.0,,,1369013000000.0,786317000000.0,1355444000000.0,779389000000.0,0.22700860131499015,0.24098320736515785,,167716000000.0,4326994000000.0,4244259000000.0,348338000000.0,360483000000.0,363993000000.0,365863000000.0,368562000000.0,0.06383050770965482,306093.38000000006,-0.01026589869805496
601328.SH,交通银行,713459000000.0,692085000000.0,,,94943000000.0,53479000000.0,71929000000.0,34163000000.0,0.27470968013881963,0.2994196508907684,,45902000000.0,1292792000000.0,1269232000000.0,87581000000.0,92149000000.0,92728000000.0,93586000000.0,95622000000.0,0.054992362022918906,92984.43000000001,-0.14384680241783404
601298.SH,青岛港,4239293705.0,3809737305.0,11113966715.0,10676668653.0,3294893624.0,2759020326.0,711666952.0,1820385497.0,0.06364834445700723,0.06830908394720864,2745485329.0,2689762834.0,47172263775.0,45684854753.0,3964054012.0,4525175176.0,4923321689.0,5234897470.0,5271506093.0,0.07990722786463378,5088.349999999999,-0.33024699389664103
601288.SH,农业银行,3525218000000.0,3263887000000.0,,,287612000000.0,1005804000000.0,276568000000.0,997474000000.0,0.2633502972952581,0.27808518747786787,,,3317093000000.0,3226261000000.0,241183000000.0,259140000000.0,269356000000.0,282083000000.0,291041000000.0,0.05745264702043329,220650.94,-0.08323223974656523
601229.SH,上海银行,523775991000.0,554554188000.0,,,-434193000.0,-130782033000.0,-755590000.0,-131041023000.0,0.21434752102378843,0.21986590706195183,13333376000.0,13243805000.0,267455501000.0,256200451000.0,22042452000.0,22280215000.0,22544789000.0,23559890000.0,24193414000.0,0.034518597952464036,19692.75,-0.4405788867882161
601186.SH,中国铁建,728309194000.0,631697230000.0,-560056895000.0,-439775117000.0,-78856432000.0,-79457258000.0,-103577137000.0,-99917860000.0,0.03809556573059511,0.03979637163846058,8076316000.0,9879419000.0,349907269000.0,340236678000.0,24690556000.0,26642094000.0,26096971000.0,22215074000.0,18362618000.0,0.0032652855010135706,484.170000000001,-0.08053146391650634
601169.SH,北京银行,494717000000.0,694394000000.0,,,1214000000.0,166914000000.0,994000000.0,166581000000.0,0.2346527923028655,0.2606714893147054,16039000000.0,15051000000.0,408025000000.0,377259000000.0,22226000000.0,24760000000.0,25624000000.0,25831000000.0,20086000000.0,0.10379061375061727,129291.62999999999,-0.1684659761727847
601166.SH,兴业银行,935254000000.0,937816000000.0,,,-7309000000.0,-77951000000.0,-11018000000.0,-85803000000.0,0.25493524056745054,0.2579894620579768,40780000000.0,42840000000.0,948258000000.0,901184000000.0,82680000000.0,91377000000.0,77116000000.0,77205000000.0,77469000000.0,0.000552189212149834,39781.399999999994,-0.07527310988182292
601009.SH,南京银行,393936873000.0,442218841000.0,,,105177712000.0,119496372000.0,104968084000.0,119255234000.0,0.2269513348564915,0.2507018645332368,13646168000.0,12520620000.0,217943125000.0,206090952000.0,15856757000.0,18408039000.0,18502084000.0,20176728000.0,21807089000.0,0.07034524480096693,95559.83,0.09219488703743473
601006.SH,大秦铁路,11503498484.0,11497749150.0,14030605450.0,24352259605.0,7191863601.0,-578297017.0,5283592919.0,-1445603772.0,0.006229058553188423,0.010186390871176378,,4099311721.0,164642176653.0,164276255834.0,12181309677.0,11196257454.0,11930006082.0,9039359180.0,5900148479.0,0.014736032940009247,33857.960000000014,-0.050047994382739595
601000.SH,唐山港,145998274.22,81861903.25,7826728762.7699995,8053246374.66,1105239475.26,880721279.16,957694229.01,574093301.67,0.08549678846519962,0.08226360568266762,1006011959.21,,21321434719.65,21484450784.33,2088776669.63,1689667346.93,1924957461.26,1978784647.04,1998358912.6,-0.004357297484066658,6236.66,0.3199277215608541
600941.SH,中国移动,55560000000.0,52255000000.0,132297000000.0,118839000000.0,114854000000.0,83832000000.0,48564000000.0,8292000000.0,0.12397148884366259,0.1215865560559723,69733000000.0,78366000000.0,1417730000000.0,1389211000000.0,115937000000.0,125459000000.0,131766000000.0,138373000000.0,137095000000.0,0.009249210709955324,65709.56999999998,-0.14944372973195982
600919.SH,江苏银行,784829855000.0,652947771000.0,,,189271509000.0,313044010000.0,188164819000.0,312834581000.0,0.20434520167453074,0.2221304863119204,21803568000.0,20170610000.0,351264230000.0,337889103000.0,19694365000.0,25385993000.0,28750352000.0,31843213000.0,34501004000.0,0.05655505746131384,103389.61999999998,-0.06951452065327889
600900.SH,长江电力,282861039059.65,287477185087.20996,-273488165650.49002,-282891329019.14996,24128313774.37,23991186511.61,19693697620.46,17779631377.32,0.028464143633845383,0.025876258159823036,14294030444.04,13190192509.73,215048548185.82,220221464375.25,26272998503.24,21309033980.94,27238970860.7,32496172808.65,34502809176.39,0.0010716961480494724,84753.53999999998,0.06027272658795126
600887.SH,伊利股份,65073303738.72,50517813137.07001,-48456561448.39,-31022892779.070007,9759147483.18,2964215363.27,8454885438.5,1511499321.75,0.2222959866242211,0.2274267143789077,5595762517.76,7016349502.87,53078360300.409996,52474159768.03,8704915103.95,9431064679.78,10428540457.94,8452859993.18,11565166497.81,0.020842871860267786,78855.49,-0.051063073391795305
600886.SH,国投电力,156500869528.74,156380627973.02002,-132604615497.18,-133267627605.77002,10948606374.24,14095842639.54,3035515119.5699997,4904074457.810001,0.034685682853146854,0.03669966462725738,3486933519.32,,71847181506.21,72535270630.01,2436891836.54,4079375650.03,6704936953.85,6643033266.19,7393381322.0,0.026430101561005337,-3657.43,-0.19447021198623335
600642.SH,申能股份,36033967345.12,35420658249.99,-16965335516.350002,-19455042436.1,4065644065.71,4206127540.97,1790197712.1599998,1829254189.8999996,0.03260156268830295,0.030888409995441474,1863359543.15,1884365914.86,41122136118.65,41697986974.26,1642136082.82,1082465422.75,3458659109.38,3944332272.25,4013390354.76,0.028470221794632877,10691.56,-0.14619516480486222
600600.SH,青岛啤酒,29441725.0,36713618.0,11525562694.0,12822853243.0,5504555885.0,4799544157.0,4395332006.0,3850214643.0,0.13538267843020488,0.14220692399099777,3667421094.0,3631640266.0,30044217944.0,29341844321.0,3155455810.0,3710628593.0,4267851406.0,4344983858.0,4588101137.0,-0.038727176951204756,-41668.6,-0.015391580434531777
600519.SH,贵州茅台,56855365.72,44206237.05,53461943613.36,51646404709.45,70690750119.06,13119061031.33,69858607366.78,11523065222.1,0.07669613805477454,0.07863429279712751,44464207646.01,45390247623.82,251253594419.5,244637811032.18,52460144378.16,62716443738.27,74734071550.75,86228146421.62,82320067101.68,-0.03880985256981062,-146585.98,-0.08164490051348879
600377.SH,宁沪高速,32334554165.409996,28881711971.149998,-30699737123.579994,-28270453242.579998,3602918234.06,3277309995.91,-543633652.0999999,-1350564440.2200003,0.010625900186410398,0.012114597834682333,,2406583027.32,41541061770.74,41442631833.72,4178794496.71,3724115165.87,4413271587.29,4946691605.41,4593870605.31,0.03308408800038998,5892.14,-0.16148036414685155
600350.SH,山东高速,72449013557.73999,70220673141.29,-66988332551.26999,-67803451235.899994,3553229844.08,3595946276.58,1819790377.25,924097966.02,0.05440897398327822,0.053773259884385166,1571609120.54,1667113500.5,45601716722.049995,44383111527.49,3052287782.41,2855263089.21,3297231623.96,3196128356.19,3205569300.59,-0.08371959193097378,-8771.060000000001,1.4744011308816332
600177.SH,雅戈尔,21063955451.690002,20726702092.07,-12207662167.730003,-8954104700.65,599186221.21,593828149.18,462754514.27000004,473867951.15999997,0.4372843508187311,0.43098570248758916,,,41512251454.77,41633051930.92,5126663023.71,5067521090.85,3433926376.96,2767465580.96,2447339231.76,0.0694091190204924,20248.510000000002,-0.09054332456925047
600132.SH,重庆啤酒,41516812.22,39240375.92,2239816216.2400002,713761512.32,2854540883.68,2905960481.7,2637075611.46,2623299235.6299996,0.1990127060108017,0.18413752978999762,783863298.7,854572426.82,884773334.1200001,677817732.6200001,1166243415.91,1263604930.09,1336597321.13,1114593043.58,1230897085.41,-0.09317065689290704,-31533.440000000002,0.04145544845900463
600036.SH,招商银行,136037000000.0,143487000000.0,,,304611000000.0,134461000000.0,281867000000.0,127260000000.0,0.29695646561642375,0.30106078167195194,,,1335079000000.0,1262921000000.0,119922000000.0,138012000000.0,146602000000.0,148391000000.0,150181000000.0,0.05943288033337901,328726.7,-0.12023653490006568
