ts_code,name,industry,value_type,price,fair_lower,fair_mid,fair_upper,price_to_mid,premium_to_mid,deviation_to_upper,method,current_pe_ttm,current_pb,dividend_yield_ttm_pct,dividend_crosscheck_mid,confidence,valuation_status,exit_state,fundamental_overall,new_funds_action,existing_position_action,kelly_70_half,scan_有利,scan_当期恶化，持续性待确认,scan_不利信号出现,scan_证据不足,scan_不适用
600015.SH,华夏银行,银行,金融,6.35,12.828345387194611,16.727143909899983,21.52028371906598,0.3796224887048257,-0.6203775112951744,-0.7049295407581364,PB/ROE剩余收益近似,4.0271,0.3155,6.6142,7.000028333333333,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,6,3,0,15,8
601668.SH,中国建筑,建筑工程,周期资源/重资产,4.39,7.198502104260514,10.209692787190452,12.590527914422049,0.42998355499079216,-0.5700164450092078,-0.6513251843100721,正常化盈利估值（正常化归母利润×周期PE）,5.7278,0.3665,6.1913,4.94178309090909,低,证据不足,出清中,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,8,3,6,15,0
601169.SH,北京银行,银行,金融,5.53,9.002348940616002,11.573687041796331,14.644563287125358,0.4778079777022983,-0.5221920222977017,-0.6223854619917788,PB/ROE剩余收益近似,5.5855,0.4102,5.0271,4.6333105,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,8,3,0,13,8
601186.SH,中国铁建,建筑工程,周期资源/重资产,6.14,8.997572340715628,12.763884783591553,16.48892277990387,0.4810447684307835,-0.5189552315692165,-0.6276287977111992,正常化盈利估值（正常化归母利润×周期PE）,5.0993,0.3003,4.886,5.454552727272727,低,证据不足,出清中,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,8,6,6,12,0
600016.SH,民生银行,银行,金融,3.64,5.634225071160277,7.244003662920356,8.853782254680436,0.50248456093858,-0.49751543906142004,-0.58887626832298,PB/ROE剩余收益近似,5.549,0.2749,5.1923,3.1499953333333335,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,7,2,0,15,8
601818.SH,光大银行,银行,金融,3.03,4.650294731385884,5.938789330029837,7.454397272388108,0.5102049982946233,-0.4897950017053767,-0.5935285054871644,PB/ROE剩余收益近似,5.4391,0.3527,5.7756,2.916678,低,证据不足,出清观察,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,7,3,1,13,8
601166.SH,兴业银行,银行,金融,18.11,26.455716283571018,35.20029559710001,46.336928329445264,0.5144843159070516,-0.48551568409294843,-0.6091670153178492,PB/ROE剩余收益近似,5.079,0.4583,5.8863,17.7668155,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,8,3,0,13,8
000001.SZ,平安银行,银行,金融,11.7,16.67545424484737,22.18819780088408,29.20938841525256,0.527307359750228,-0.472692640249772,-0.5994438557333678,PB/ROE剩余收益近似,5.2244,0.4849,5.0941,9.933495,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,9,2,0,13,8
600642.SH,申能股份,火力发电,稳定盈利,8.67,7.41194716781132,14.511232410460936,25.257543539810385,0.5974682063357984,-0.40253179366420155,-0.6567362148130306,正常化盈利估值（正常化归母利润×合理PE）,11.7229,1.1555,5.3057,9.2000838,中,公允价值内,出清观察,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,15,5,0,12,0
000999.SZ,华润三九,中成药,稳定盈利,24.7,20.558914998600496,40.85710652880159,67.83549372059437,0.6045459920806706,-0.3954540079193294,-0.6358838324117444,正常化盈利估值（正常化归母利润×合理PE）,12.5457,1.8004,4.2106,26.000455,中,公允价值内,出清观察,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,15,3,1,13,0
