index_code,date,close,previous_close,category
000905.SH,20160104,6983.4044,7617.689,down
000905.SH,20160105,6889.7414,6983.4044,down
000905.SH,20160106,7065.6068,6889.7414,up
000905.SH,20160107,6462.2428,7065.6068,down
000905.SH,20160108,6570.4316,6462.2428,up
000905.SH,20160111,6128.6558,6570.4316,down
000905.SH,20160112,6136.6632,6128.6558,flat
000905.SH,20160113,5924.044,6136.6632,down
000905.SH,20160114,6124.8202,5924.044,up
000905.SH,20160115,5893.6815,6124.8202,down
000905.SH,20160118,5978.9076,5893.6815,up
000905.SH,20160119,6197.0947,5978.9076,up
000905.SH,20160120,6138.5031,6197.0947,down
000905.SH,20160121,5886.8835,6138.5031,down
000905.SH,20160122,5980.6111,5886.8835,up
000905.SH,20160125,6041.3261,5980.6111,up
000905.SH,20160126,5589.3069,6041.3261,down
000905.SH,20160127,5514.1886,5589.3069,down
000905.SH,20160128,5271.2325,5514.1886,down
000905.SH,20160129,5469.1254,5271.2325,up
000905.SH,20160201,5399.4771,5469.1254,down
000905.SH,20160202,5586.6266,5399.4771,up
000905.SH,20160203,5610.1734,5586.6266,flat
000905.SH,20160204,5721.4853,5610.1734,up
000905.SH,20160205,5664.1971,5721.4853,down
000905.SH,20160215,5668.0398,5664.1971,flat
000905.SH,20160216,5902.5341,5668.0398,up
000905.SH,20160217,5971.4123,5902.5341,up
000905.SH,20160218,5957.1305,5971.4123,flat
000905.SH,20160219,5979.5164,5957.1305,flat
000905.SH,20160222,6103.7225,5979.5164,up
000905.SH,20160223,6070.4998,6103.7225,down
000905.SH,20160224,6111.0427,6070.4998,up
000905.SH,20160225,5626.0522,6111.0427,down
000905.SH,20160226,5648.9376,5626.0522,flat
000905.SH,20160229,5350.4337,5648.9376,down
000905.SH,20160301,5473.6349,5350.4337,up
000905.SH,20160302,5753.1482,5473.6349,up
000905.SH,20160303,5776.977,5753.1482,flat
000905.SH,20160304,5621.5614,5776.977,down
000905.SH,20160307,5752.5482,5621.5614,up
000905.SH,20160308,5764.3253,5752.5482,flat
000905.SH,20160309,5617.0376,5764.3253,down
000905.SH,20160310,5521.948,5617.0376,down
000905.SH,20160311,5508.9818,5521.948,flat
000905.SH,20160314,5690.5904,5508.9818,up
000905.SH,20160315,5639.8012,5690.5904,down
000905.SH,20160316,5562.8037,5639.8012,down
000905.SH,20160317,5745.975,5562.8037,up
000905.SH,20160318,5949.2627,5745.975,up
000905.SH,20160321,6099.4805,5949.2627,up
000905.SH,20160322,6075.4922,6099.4805,flat
