index_code,index_name,year,up,flat,down,total,up_pct,flat_pct,down_pct,first_date,last_date,status
000905.SH,中证500,2016,75,103,66,244,30.74,42.21,27.05,20160104,20161230,full
000905.SH,中证500,2017,82,98,64,244,33.61,40.16,26.23,20170103,20171229,full
000905.SH,中证500,2018,72,84,87,243,29.63,34.57,35.80,20180102,20181228,full
000905.SH,中证500,2019,85,86,73,244,34.84,35.25,29.92,20190102,20191231,full
000905.SH,中证500,2020,95,74,74,243,39.09,30.45,30.45,20200102,20201231,full
000905.SH,中证500,2021,85,92,66,243,34.98,37.86,27.16,20210104,20211231,full
000905.SH,中证500,2022,77,92,73,242,31.82,38.02,30.17,20220104,20221230,full
000905.SH,中证500,2023,62,113,67,242,25.62,46.69,27.69,20230103,20231229,full
000905.SH,中证500,2024,72,81,89,242,29.75,33.47,36.78,20240102,20241231,full
000905.SH,中证500,2025,85,93,65,243,34.98,38.27,26.75,20250102,20251231,full
000905.SH,中证500,2026,70,36,62,168,41.67,21.43,36.90,20260105,20260910,YTD
H30269.CSI,中证红利低波动（50只成分）,2016,66,121,57,244,27.05,49.59,23.36,20160104,20161230,full
H30269.CSI,中证红利低波动（50只成分）,2017,52,153,39,244,21.31,62.70,15.98,20170103,20171229,full
H30269.CSI,中证红利低波动（50只成分）,2018,70,95,78,243,28.81,39.09,32.10,20180102,20181228,full
H30269.CSI,中证红利低波动（50只成分）,2019,65,119,60,244,26.64,48.77,24.59,20190102,20191231,full
H30269.CSI,中证红利低波动（50只成分）,2020,67,108,68,243,27.57,44.44,27.98,20200102,20201231,full
H30269.CSI,中证红利低波动（50只成分）,2021,73,103,67,243,30.04,42.39,27.57,20210104,20211231,full
H30269.CSI,中证红利低波动（50只成分）,2022,78,92,72,242,32.23,38.02,29.75,20220104,20221230,full
H30269.CSI,中证红利低波动（50只成分）,2023,57,128,57,242,23.55,52.89,23.55,20230103,20231229,full
H30269.CSI,中证红利低波动（50只成分）,2024,72,107,63,242,29.75,44.21,26.03,20240102,20241231,full
H30269.CSI,中证红利低波动（50只成分）,2025,60,136,47,243,24.69,55.97,19.34,20250102,20251231,full
H30269.CSI,中证红利低波动（50只成分）,2026,43,82,43,168,25.60,48.81,25.60,20260105,20260910,YTD
NDX,纳斯达克100,2016,66,129,57,252,26.19,51.19,22.62,20160104,20161230,full
NDX,纳斯达克100,2017,52,173,26,251,20.72,68.92,10.36,20170103,20171229,full
NDX,纳斯达克100,2018,87,97,67,251,34.66,38.65,26.69,20180102,20181231,full
NDX,纳斯达克100,2019,85,117,50,252,33.73,46.43,19.84,20190102,20191231,full
NDX,纳斯达克100,2020,116,68,69,253,45.85,26.88,27.27,20200102,20201231,full
NDX,纳斯达克100,2021,94,93,65,252,37.30,36.90,25.79,20210104,20211231,full
NDX,纳斯达克100,2022,90,49,112,251,35.86,19.52,44.62,20220103,20221230,full
NDX,纳斯达克100,2023,94,91,65,250,37.60,36.40,26.00,20230103,20231229,full
NDX,纳斯达克100,2024,86,104,62,252,34.13,41.27,24.60,20240102,20241231,full
NDX,纳斯达克100,2025,84,107,59,250,33.60,42.80,23.60,20250102,20251231,full
NDX,纳斯达克100,2026,64,56,53,173,36.99,32.37,30.64,20260102,20260910,YTD
SPCLLHCP,标普中国A股大盘红利低波50,2016,,,,,,,,,,missing
SPCLLHCP,标普中国A股大盘红利低波50,2017,,,,,,,,,,missing
SPCLLHCP,标普中国A股大盘红利低波50,2018,,,,,,,,,,missing
SPCLLHCP,标普中国A股大盘红利低波50,2019,,,,,,,,,,missing
SPCLLHCP,标普中国A股大盘红利低波50,2020,,,,,,,,,,missing
SPCLLHCP,标普中国A股大盘红利低波50,2021,,,,,,,,,,missing
SPCLLHCP,标普中国A股大盘红利低波50,2022,,,,,,,,,,missing
SPCLLHCP,标普中国A股大盘红利低波50,2023,,,,,,,,,,missing
SPCLLHCP,标普中国A股大盘红利低波50,2024,,,,,,,,,,missing
SPCLLHCP,标普中国A股大盘红利低波50,2025,,,,,,,,,,missing
SPCLLHCP,标普中国A股大盘红利低波50,2026,,,,,,,,,,missing
