输入参数,数值
起始价格,1.700
步长比例,6.00%
最大跌幅,60.00%
资金模式,固定每格金额
每格金额（元）,2000.00
单边费率,0.000%
留利润策略,关闭（网格 1.0）

压力测试,数值
实际价格步长,0.102
覆盖跌幅,60.00%
网格档数,11
证券本金预算,22000.00
计划现金,22000.00
最大实际投入,21328.20
未使用现金,671.80
总持仓,19500
平均成本,1.094
最低买入价,0.680
最低档情景-持仓总市值,13260.00
最低档浮亏,-8068.20
最低档浮亏比例,-37.83%

序号,档位,买入价格,卖出价格,买入数量,买入金额,卖出数量,卖出金额,盈利金额,盈利比例
1,1.700,1.700,1.802,1100,1870.00,1100,1982.20,112.20,6.00%
2,1.598,1.598,1.700,1200,1917.60,1200,2040.00,122.40,6.38%
3,1.496,1.496,1.598,1300,1944.80,1300,2077.40,132.60,6.82%
4,1.394,1.394,1.496,1400,1951.60,1400,2094.40,142.80,7.32%
5,1.292,1.292,1.394,1500,1938.00,1500,2091.00,153.00,7.89%
6,1.190,1.190,1.292,1600,1904.00,1600,2067.20,163.20,8.57%
7,1.088,1.088,1.190,1800,1958.40,1800,2142.00,183.60,9.37%
8,0.986,0.986,1.088,2000,1972.00,2000,2176.00,204.00,10.34%
9,0.884,0.884,0.986,2200,1944.80,2200,2169.20,224.40,11.54%
10,0.782,0.782,0.884,2500,1955.00,2500,2210.00,255.00,13.04%
11,0.680,0.680,0.782,2900,1972.00,2900,2267.80,295.80,15.00%
