index_code,index_name,year,up,flat,down,total,up_pct,flat_pct,down_pct,first_date,last_date,status
NDX,纳斯达克100,2016,66,129,57,252,26.19,51.19,22.62,20160104,20161230,full
NDX,纳斯达克100,2017,52,173,26,251,20.72,68.92,10.36,20170103,20171229,full
NDX,纳斯达克100,2018,87,97,67,251,34.66,38.65,26.69,20180102,20181231,full
NDX,纳斯达克100,2019,85,117,50,252,33.73,46.43,19.84,20190102,20191231,full
NDX,纳斯达克100,2020,116,68,69,253,45.85,26.88,27.27,20200102,20201231,full
NDX,纳斯达克100,2021,94,93,65,252,37.30,36.90,25.79,20210104,20211231,full
NDX,纳斯达克100,2022,90,49,112,251,35.86,19.52,44.62,20220103,20221230,full
NDX,纳斯达克100,2023,94,91,65,250,37.60,36.40,26.00,20230103,20231229,full
NDX,纳斯达克100,2024,86,104,62,252,34.13,41.27,24.60,20240102,20241231,full
NDX,纳斯达克100,2025,84,107,59,250,33.60,42.80,23.60,20250102,20251231,full
NDX,纳斯达克100,2026,64,56,53,173,36.99,32.37,30.64,20260102,20260910,YTD
